company,headquarters,served_countries,number_of_locations,number_of_employees,number_of_locations_num,number_of_employees_num,countries_count,company_id
Lotte Mart,South Korea,"China, Indonesia, Vietnam",199,,199.0,,3,53
Lulu Hypermarket,United Arab Emirates,"Bahrain, Saudi Arabia, Kuwait, Oman, Qatar, Egypt, India, Yemen, Indonesia",238,57000,238.0,57000.0,9,54
Makro (Shv Holdings),,"Argentina, Brazil, Colombia, Venezuela",107,6655,107.0,6655.0,4,55
Makro (Cp All),Thailand,"Cambodia, China, India, Myanmar",145,14500,145.0,14500.0,4,56
Maxima Group,Lithuania,"Latvia, Estonia, Bulgaria (branded as T-Market), Poland (branded as Stokrotka)",1326,31569,1326.0,31569.0,4,57
Maxvalu Tokai,Japan,Thailand (branded as MaxValu and MaxValu Tanjai),,,,,1,58
Meny,Norway,Denmark,300,15000,300.0,15000.0,1,59
Mercator,Slovenia,"Bosnia and Herzegovina, Croatia, Montenegro, Serbia",1428,20300,1428.0,20300.0,4,60
Mercator-S,Serbia,,321,8124,321.0,8124.0,,61
Metro,Germany,"Austria, Belgium, Bulgaria, Croatia, Czech Republic (as Makro), France, Greece, Hungary, India, Italy, Japan, Moldova, Morocco, Netherlands (as Makro), Pakistan, Poland (as Makro), Portugal (as Makro), Romania, Russia, Serbia, Slovakia, Spain (as Makro), Turkey, Ukraine",773,118000,773.0,118000.0,24,62
Migros,Switzerland,"Liechtenstein, France, Germany (as tegut…)",1066,97541,1066.0,97541.0,3,63
Migros Türk,Turkey,Kyrgyzstan,1156,26779,1156.0,26779.0,1,64
Mpreis,Austria,Italy,257,6100,257.0,6100.0,1,65
Netto,Denmark,"Germany, Poland, United Kingdom, Sweden, Lithuania, Latvia, Estonia, Norway, Sweden, Iceland, Faroe Islands, Greenland",1730,7000,1730.0,7000.0,12,66
Netto Uk,United Kingdom,,193 (original) and 16 (revival),7000,19316.0,7000.0,,67
Netto (Les Mousquetaires),France,"Poland, Portugal",360+,,360.0,,2,68
Northern,Canada,USA (Alaska),213,6805,213.0,6805.0,1,69
Parknshop,Hong Kong,"China, Macau",250+,9000,250.0,9000.0,2,70
Parkson,Malaysia,"China, Vietnam, Laos, Indonesia and Myanmar",131,,131.0,,4,71
Penny,Germany,"Austria, Bulgaria, Hungary, Italy, Czech Republic, Romania, Turkey",3844,43773,3844.0,43773.0,7,72
Prisma,Finland,"Estonia, Russia",90,37283,90.0,37283.0,2,73
Rema 1000,Norway,Denmark,980,20252,980.0,20252.0,1,74
Rimi Baltic,Latvia,"Estonia, Lithuania",291,,291.0,,2,75
Selex,Italy,San Marino,2595,33000,2595.0,33000.0,1,76
Selgros,Germany,"Poland, Romania, Russia",98,"14,400+",98.0,14.4,3,77
Sisa,Italy,Greece,,3000,,3000.0,1,78
Spar,Netherlands,"Albania, Australia, Austria, Belgium, Botswana, China, Croatia, Czech Republic, Denmark, France, Germany, Greece, Hungary, India, Ireland, Italy, Japan, Mauritius, Montenegro, Namibia, Norway, Pakistan, Poland, Romania, Russia, Slovenia, South Africa, Spain, Sri Lanka, Portugal, Switzerland, United Kingdom, Ukraine, Zambia, Zimbabwe",13623,410000,13623.0,410000.0,35,79
Stockmann,Finland,"Estonia, Latvia, Russia",483,9734,483.0,9734.0,3,80
Supervalu,Canada,,,,,,,81
Supervalu,Ireland,"Spain, United Kingdom (Northern Ireland)",223,14500,223.0,14500.0,2,82
Supervalu,United States,,2150,,2150.0,,,83
Supervalue,New Zealand,,44,,44.0,,,84
Tesco,United Kingdom,"Czech Republic, Hungary, India, Ireland, Malaysia, Slovakia, France, Japan, United States, South Korea, Turkey, Poland, Thailand",10014,330000,10014.0,330000.0,13,85
Tía Sa,Ecuador,"Colombia, Uruguay",450,,450.0,,2,86
Tf Value Mart,Malaysia,Malaysia,,,,,1,87
Veropoulos,Greece,"North Macedonia, Serbia",201,6000,201.0,6000.0,2,88
Walmart,United States,"Argentina, Brazil, Canada, Chile (as Lider), China, Costa Rica, El Salvador, Guatemala, Honduras, Mexico, Nicaragua, United Kingdom (as ASDA)","10,586 or 10,616","2,100,000 or 2,300,000",1058610616.0,21000002300000.0,12,89
Wellcome,Hong Kong,"Philippines, Taiwan",280,,280.0,,2,90
Whole Foods Market,United States,"Canada, United Kingdom",500+,91000,500.0,91000.0,2,91
Woolworths Supermarkets,Australia,New Zealand (branded as Countdown since 2010),"995 or 1,117",225000,9951.117,225000.0,1,92
A&P,United States,,16000,28500,16000.0,28500.0,,93
Albertsons,United States,,2253,325000,2253.0,325000.0,,94
Barber'S Super Market,United States,,,,,,,95
Bi-Lo,United States,,,13000,,13000.0,,96
Bi-Lo,Australia,,180,13600,180.0,13600.0,,97
Byerly'S,United States,,28,3900,28.0,3900.0,,98
Cub,United States,,106,1000,106.0,1000.0,,99
Remke Markets,United States,,5,100+,5.0,100.0,,100
Giant Food Stores,United States,,190,"35,000+",190.0,35.0,,101
Grand Union,United States,,11,,11.0,,,102
Food City,United States,,153,16000,153.0,16000.0,,103
Food Lion,United States,,,,,,,104
Foodway Discount Foods,United States,,1103,"88,000+",1103.0,88.0,,105
Ingles,United States,,198,26000,198.0,26000.0,,106
Jewel,United States,,188,,188.0,,,107
Kohl'S,United States,,1165,99000,1165.0,99000.0,,108
Kowalski'S,United States,,11,,11.0,,,109
Kroger,United States,,2719,465000,2719.0,465000.0,,110
Piggly Wiggly,United States,,499,,499.0,,,111
Safeway,United States,"Canada, United Kingdom, Australia (rebranded as Woolworths in 2008), West Germany, Mexico, Saudi Arabia, Jordan",904,"250,000+ (including Albertsons)",904.0,250.0,7,112
Winn-Dixie,United States,,546,41000,546.0,41000.0,,113
Dominion,Canada,,,,,,,114
Sobey'S,Canada,,1500,123000,1500.0,123000.0,,115
Real Canadian Superstore,Canada,,120,,120.0,,,116
Provigo,Canada,,,5700,,5700.0,,117
Iga,United States,"Canada, Australia, Philippines, Dominica",,,,,4,118
Iga (Australia),Australia,,1400,,1400.0,,,119
Metro,Canada,,1601,90000,1601.0,90000.0,,120
Maxi (Canada),Canada,,,7000,,7000.0,,121
Maxi (Serbia),Serbia,,482,12629,482.0,12629.0,,122
Ica Gruppen,Sweden,"Latvia, Norway, Lithuania, Estonia",,24000,,24000.0,4,123
Norma,Germany,"France, Czech Republic, Austria",1300,14679,1300.0,14679.0,3,124
Plus,Netherlands,,270,,270.0,,,125
Plus,Germany,"Austria, Spain, Poland, Hungary, Czech Republic, Romania, Portugal, Cyprus, Greece, Bulgaria, United States",4243,27700,4243.0,27700.0,11,126
Ahold,Netherlands,Poland,3206,236000,3206.0,236000.0,1,127
Ahold,Netherlands,"Belgium, Germany",1056,100000,1056.0,100000.0,2,128
Coopérative U,France,"Andorra, Burkina Faso, Benin, Cameroon, Ivory Coast, Guinea, Mauritius, Madagascar, Morocco, Senegal",1726,,1726.0,,10,129
Konsum,Germany,,,,,,,130
Kooperativa Förbundet,Sweden,,,,,,,131
Asda,United Kingdom,,829,145000,829.0,145000.0,,132
Budgens,United Kingdom,,,,,,,133
Happy Shopper,United Kingdom,,,,,,,134
Marks & Spencer,United Kingdom,,1463,72316,1463.0,72316.0,,135
Victor Value,United Kingdom,,217,,217.0,,,136
Sainsbury'S,United Kingdom,,1442,171000,1442.0,171000.0,,137
Waitrose,United Kingdom,Great Britain and the Channel Islands,329,52590,329.0,52590.0,1,138
Ralphs,United States,,,,,,,139
Smith'S Food And Drug,United States,,164,22000,164.0,22000.0,,140
Vons,United States,,193,44000,193.0,44000.0,,141
Morrisons,United Kingdom,,497,110000,497.0,110000.0,,142
Colruyt,Belgium,,,24287,,24287.0,,143
Gb,Belgium,,58,,58.0,,,144
Ed,France,,916,"10,000+",916.0,10.0,,145
Leader Price,France,"Djibouti, Cameroon, Vanuatu, Guinea, Togo, Cape Verde, Mauritania, Serbia, Morocco, Saint Martin, Lebanon, French Guiana, Belgium, Egypt, Martinique, United Arab Emirates, Madagascar, Saudi Arabia, Jordan, Kuwait, Italy, Guadeloupe, Réunion",215 or 545,,215545.0,,23,146
Franprix,France,,641,,641.0,,,147
Inno,Belgium,,16,,16.0,,,148
Monoprix,France,"Belgium, Luxembourg, Qatar, Tunisia, United Arab Emirates, Morocco, Mauritius, Lebanon, Andorra, Libya, Germany, Netherlands, Portugal, Sweden, Norway, Denmark, Spain",736,"21,000+",736.0,21.0,17,149
Système U,France,,,,,,,150
Uniprix,Canada,,,,,,,151
Rainbow Foods,United States,,40,,40.0,,,152
Fry'S Food And Drug,United States,,123,22000,123.0,22000.0,,153
Amigo,Puerto Rico,,,,,,,154
Econo,Puerto Rico,,64,,64.0,,,155
Obs,Norway,,31,,31.0,,,156
Bilka,Denmark,,,,,,,157
Pueblo,Uruguay,,,,,,,158
Safeway Uk,United Kingdom,,,,,,,159
Lucky Stores,United States,,70,,70.0,,,160
Kwik Save,United Kingdom,,,,,,,161
Somerfield,United Kingdom,,,50000,,50000.0,,162
